text,label
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
"Poor quality, very disappointed.",0
Not worth it at all.,0
Awful experience. Avoid this.,0
"It's okay, nothing special.",1
"Average product, does the job.",1
"Decent quality, nothing remarkable.",1
"Fine product, meets expectations.",1
This product is amazing! Highly recommend!,2
Great quality and fast shipping.,2
Love it! Worth every penny.,2
Very satisfied with my purchase.,2
Terrible product. Waste of money.,0
